District,Area(Acres),Yield(Kgs/acre),Production(Tonnes)
Suryapet,401575,1923,772229
Nalgonda,394760,2034,802942
Nizamabad,385111,2157,830684
Jagtial,282134,1923,542544
Khammam,280112,1852,518767
Karimnagar,252952,1826,461890
Kamareddy,247851,2000,495702
Siddipet,226590,1984,449555
Peddapalli,205087,1722,353160
Yadadri Bhuvanagiri,204119,1717,350472
Medak,194885,1557,303436
Wanaparthy,178194,1600,285110
Mancherial,163652,1473,241059
Bhadradri Kothagudem,157987,1919,303177
Mahabubabad,157513,1669,262889
Jangaon,149255,1698,253435
Rajanna Sircilla,148811,1818,270538
Warangal Rural,126675,1722,218134
Mahabubnagar,114232,1829,208930
Nirmal,106418,1732,184316
Mulugu,100809,1688,170166
Jayashankar,100590,1647,165672
Nagarkurnool,98505,1625,160071
Narayanpet,98032,1921,188319
Warangal Urban,96416,1753,169017
Jogulamba Gadwal,80938,1732,140185
Sangareddy,78215,1792,140161
Vikarabad,75172,1766,132754
Rangareddy,71291,1846,131603
Kumuram Bheem,55194,1670,92174
Medchal-Malkajgiri,15997,1754,28059
Adilabad,2189,1785,3907
Hyderabad,0,0,0
